id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,id_parcelle,type_local,surface_reelle_bati,longitude,latitude
2025-784029,2025-06-02,Vente,59400,50,RUE DU CALVAIRE,62469000ZE0129,Maison,114,3.046936,50.17307
2025-784051,2025-06-06,Vente,220000,17,RUE DE SAINS LES MARQUION,624690000B0882,Maison,164,3.059562,50.182122
2025-784661,2025-06-26,Vente,105000,60,RUE DU CALVAIRE,62469000ZE0162,Maison,111,3.045774,50.171194
2025-784685,2025-06-27,Vente,125000,3,RUE DE L HOPITAL,624690000D0076,Maison,70,3.050825,50.178924
2025-784773,2025-06-30,Vente,125000,11,RUE DU CALVAIRE,624690000D0327,Maison,110,3.049092,50.176525
2025-785050,2025-08-07,Vente,392000,3,RUE DES MARES,624690000D0493,Maison,300,3.049316,50.177819
2025-785050,2025-08-07,Vente,392000,3,RUE DES MARES,624690000D0493,Maison,300,3.049316,50.177819
2025-785407,2025-08-28,Vente,192900,61,RUE DU CALVAIRE,62469000ZH0104,Maison,69,3.045141,50.171552
2025-785478,2025-09-05,Vente,100000,20,RUE NEUVE,624690000D0106,Maison,126,3.053979,50.180385
2025-785771,2025-10-01,Vente,13900,6,RUE DE L HOPITAL,624690000D0356,Maison,95,3.050054,50.178768
2025-785871,2025-09-18,Vente,202000,1,RUE DU CALVAIRE,624690000D0339,Maison,235,3.050112,50.177435
2025-786394,2025-11-06,Vente,73000,7,RUE DE MOEUVRES,624690000D0236,Maison,97,3.052254,50.177296
2025-786931,2025-12-03,Vente,171075,62,RUE DU CALVAIRE,62469000ZE0235,Maison,72,3.046725,50.170596
2024-738307,2024-03-20,Vente,164000,34,RUE DU CALVAIRE,62469000ZE0099,Maison,112,3.048307,50.174589
2024-738685,2024-04-23,Vente,142500,8,RUE DU CHATEAU,624690000D0059,Maison,97,3.050165,50.179002
2024-739290,2024-06-07,Vente,90000,5001,LES ETINCELLES,624690000D0422,Maison,24,3.050028,50.181606
2024-739290,2024-06-07,Vente,90000,5001,LES ETINCELLES,624690000D0422,Maison,24,3.050028,50.181606
2024-739290,2024-06-07,Vente,90000,5001,LES ETINCELLES,624690000D0422,Maison,24,3.050028,50.181606
2024-739551,2024-06-25,Vente,31500,6,RUE DU CHATEAU,624690000D0057,Maison,108,3.05061,50.179186
2024-739614,2024-07-03,Vente,204230,14,VC GRAND PLACE,624690000D0222,Maison,133,3.051533,50.17796
2024-739771,2024-06-24,Vente,30000,17,RUE NEUVE,624690000D0200,Maison,42,3.053416,50.179538
2024-740048,2024-07-29,Vente,130000,11,RUE DE MOEUVRES,624690000D0240,Maison,162,3.052745,50.177202
2024-740807,2024-09-13,Vente,163900,14,RUE DU CALVAIRE,624690000D0297,Maison,134,3.049347,50.175876
